HG002.1	HG002#1#JAHKSE010000066.1:5225442-5387423
HG002.2	HG002#2#JAHKSD010000045.1:27049085-27228672
HG00438.1	HG00438#1#JAHBCB010000040.1:24217374-24370200
HG00438.2	HG00438#2#JAHBCA010000042.1:24346257-24499080
HG005.1	HG005#1#JAHEPO010000054.1:5078009-5257595
HG005.2	HG005#2#JAHEPN010000064.1:6797890-6977475
HG00621.1	HG00621#1#JAHBCD010000020.1:24328261-24501480
HG00621.2	HG00621#2#JAHBCC010000005.1:31872882-32052467
HG00673.1	HG00673#1#JAHBBZ010000030.1:31785935-31965522
HG00673.2	HG00673#2#JAHBBY010000031.1:499700-672920
HG00733.1	HG00733#1#JAHEPQ010000070.1:31893483-32073068
HG00733.2	HG00733#2#JAHEPP010000166.1:261160-413989
HG00735.1	HG00735#1#JAHBCH010000013.1:31979316-32152529
HG00735.2	HG00735#2#JAHBCG010000038.1:3267039-3440261
HG00741.1	HG00741#1#JAHALY010000025.1:24222522-24395742
HG00741.2	HG00741#2#JAHALX010000077.1:26505921-26679140
HG01071.1	HG01071#1#JAHBCF010000017.1:660184-833403
HG01071.2	HG01071#2#JAHBCE010000076.1:7748183-7947769
HG01106.1	HG01106#1#JAHAMC010000024.1:7793539-7946368
HG01106.2	HG01106#2#JAHAMB010000019.1:116863175-117016004
HG01109.1	HG01109#1#JAHEPA010000084.1:27847441-28033004
HG01109.2	HG01109#2#JAHEOZ010000001.1:28423285-28596507
HG01123.1	HG01123#1#JAGYYZ010000057.1:26876415-27056003
HG01123.2	HG01123#2#JAGYYY010000050.1:31904997-32084583
HG01175.1	HG01175#1#JAHAMA010000069.1:7836131-8015718
HG01175.2	HG01175#2#JAHALZ010000032.1:24242469-24415689
HG01243.1	HG01243#1#JAHEOY010000117.1:3202181-3375403
HG01243.2	HG01243#2#JAHEOX010000097.1:27510141-27689729
HG01258.1	HG01258#1#JAGYYV010000066.1:28032393-28205611
HG01258.2	HG01258#2#JAGYYU010000011.1:27107564-27280783
HG01358.1	HG01358#1#JAGYZB010000008.1:7906369-8091932
HG01358.2	HG01358#2#JAGYZA010000082.1:7815428-7988645
HG01361.1	HG01361#1#JAGYYX010000108.1:7802141-7975361
HG01361.2	HG01361#2#JAGYYW010000059.1:31933314-32106537
HG01891.1	HG01891#1#JAGYVO010000024.1:26847912-27021133
HG01891.2	HG01891#2#JAGYVN010000027.1:27983306-28156528
HG01928.1	HG01928#1#JAGYVQ010000020.1:28347628-28527212
HG01928.2	HG01928#2#JAGYVP010000017.1:31857565-32037269
HG01952.1	HG01952#1#JAHAME010000044.1:28328217-28501042
HG01952.2	HG01952#2#JAHAMD010000016.1:31924843-32098061
HG01978.1	HG01978#1#JAGYVS010000035.1:31923747-32096959
HG01978.2	HG01978#2#JAGYVR010000046.1:2424806-2637129
HG02055.1	HG02055#1#JAHEPK010000074.1:3256857-3430078
HG02055.2	HG02055#2#JAHEPJ010000058.1:23971165-24123994
HG02080.1	HG02080#1#JAHEOW010000032.1:31994275-32147104
HG02080.2	HG02080#2#JAHEOV010000002.1:24343230-24516452
HG02109.1	HG02109#1#JAHEPG010000124.1:3152248-3325467
HG02109.2	HG02109#2#JAHEPF010000055.1:2253995-2427217
HG02145.1	HG02145#1#JAHKSG010000017.1:7828981-8014544
HG02145.2	HG02145#2#JAHKSF010000005.1:3266829-3440049
HG02148.1	HG02148#1#JAHAMG010000076.1:24001004-24167857
HG02148.2	HG02148#2#JAHAMF010000034.1:3208183-3361012
HG02257.1	HG02257#1#JAGYVI010000022.1:28343752-28523340
HG02257.2	HG02257#2#JAGYVH010000080.1:5176220-5349439
HG02486.1	HG02486#1#JAGYVM010000005.1:27290008-27463230
HG02486.2	HG02486#2#JAGYVL010000026.1:31876548-32049768
HG02559.1	HG02559#1#JAGYVK010000047.1:31924434-32104018
HG02559.2	HG02559#2#JAGYVJ010000064.1:31880790-32060377
HG02572.1	HG02572#1#JAHAOW010000052.1:1041994-1215215
HG02572.2	HG02572#2#JAHAOV010000201.1:5123138-5275968
HG02622.1	HG02622#1#JAHAOO010000042.1:28476455-28676045
HG02622.2	HG02622#2#JAHAON010000041.1:31923977-32076806
HG02630.1	HG02630#1#JAHAOQ010000088.1:16851209-17024431
HG02630.2	HG02630#2#JAHAOP010000058.1:24101020-24274239
HG02717.1	HG02717#1#JAHAOS010000073.1:5179578-5352800
HG02717.2	HG02717#2#JAHAOR010000061.1:24113909-24313494
HG02723.1	HG02723#1#JAHEOU010000100.1:4815975-4989194
HG02723.2	HG02723#2#JAHEOT010000107.1:24115953-24289175
HG02818.1	HG02818#1#JAHEOS010000026.1:3267284-3440504
HG02818.2	HG02818#2#JAHEOR010000019.1:17775905-17949124
HG02886.1	HG02886#1#JAHAOU010000006.1:23380524-23553743
HG02886.2	HG02886#2#JAHAOT010000003.1:26581560-26734389
HG03098.1	HG03098#1#JAHEPM010000086.1:23520048-23693270
HG03098.2	HG03098#2#JAHEPL010000070.1:23471890-23624719
HG03453.1	HG03453#1#JAGYVW010000148.1:2329409-2502630
HG03453.2	HG03453#2#JAGYVV010000230.1:3192857-3345686
HG03486.1	HG03486#1#JAHEOQ010000034.1:24213068-24386288
HG03486.2	HG03486#2#JAHEOP010000002.1:3196568-3369790
HG03492.1	HG03492#1#JAHEPI010000049.1:16745672-16931235
HG03492.2	HG03492#2#JAHEPH010000100.1:3197689-3371026
HG03516.1	HG03516#1#JAGYYT010000073.1:23983461-24156681
HG03516.2	HG03516#2#JAGYYS010000003.1:32037442-32210664
HG03540.1	HG03540#1#JAGYVY010000082.1:17820257-18019842
HG03540.2	HG03540#2#JAGYVX010000013.1:24187246-24366833
HG03579.1	HG03579#1#JAGYVU010000035.1:17797637-17970859
HG03579.2	HG03579#2#JAGYVT010000002.1:3256326-3429546
NA18906.1	NA18906#1#JAHEOO010000017.1:29241786-29415005
NA18906.2	NA18906#2#JAHEON010000020.1:24221734-24394954
NA19240.1	NA19240#1#JAHEOM010000153.1:2308865-2482085
NA19240.2	NA19240#2#JAHEOL010000047.1:3267930-3467523
NA20129.1	NA20129#1#JAHEPE010000077.1:3190244-3363464
NA20129.2	NA20129#2#JAHEPD010000054.1:23992206-24165424
NA21309.1	NA21309#1#JAHEPC010000026.1:3201470-3374691
NA21309.2	NA21309#2#JAHEPB010000021.1:3104084-3277302
T2T-CHM13v2.1	T2T-CHM13v2#1#6:31798842-31960826
